Date,User,IsVerified,Tweet,Likes,RT,User_location
8/5/22,Procter & Gamble Company,,You won’t win with #GenZ if you’re not winning with #LGBTQ.” P&G’s senior director of global LGBTQ+ equality shares how P&G’s commitment to LGBTQ+ representation and inclusion is a key aspect of the company’s strategy to drive market growth.,0,0,
6/30/21,PepsiCo Inc.,,"You never know where people are in their personal journeys. Our employee resource groups are communities that can help associates gain the support and self-confidence they need to thrive. Meet Sandra, a member of our LGBTQ+ employee resource group, EQUAL: https://pepsi.co/3h5cnto",0,0,
6/27/22,Consolidated Edison Inc.,,"You may be celebrating pride differently this year, join our partner @nyclgbtsites on this virtual tour celebrating NYC LGBTQ+ historic sites. Happy #PrideWeekend! #ThePowerofPride #pride",0,0,
6/3/19,Visa Inc. Class A,,"You know that love wins. We believe everyone should be accepted, everywhere. @USWNT star @mPinoe has plenty to be proud of. Visa is proud to have her on our team. Happy #Pride!Visa. Everywhere You Want To Be",0,0,
6/8/18,Cigna Corporation,,You inspire us to be resilient; we’d like to remind you to stay healthy. Call your doctor and schedule your annual check-up today. #PrideMonth,0,0,
6/28/19,Accenture Plc Class A,,"You can't just change policies—you have to change behavior."" Our shares how to create a culture of equality where all employees can thrive: https://accntu.re/2IX9M3P #PrideAtAccenture #PrideMonth",0,0,
6/27/18,Wells Fargo & Company,,You can’t hide this much MNT pride! Show your El Tricolors with some of our gifs at http://on.wf.com/6017Dmx5l #VamosMexico #MEX #NadaNosDetiene #MyOtherTeamIsMexico,0,0,
6/16/20,Biogen Inc.,,"Yesterday's victory of #TitleVII is an important step for the #LGBTQ community. We know the fight for human rights is far from over, and we continue to support access to health care and non-discrimination protections that will ensure the freedom to live and work. #PrideMonth",0,0,
11/29/18,Dow Inc.,,"Yesterday, our Latin America President, @gilfabian, & @OutandEqual CEO, @ErinUritus, met in our São Paulo office to discuss opportunities to further advance #LGBTQ+ workplace equality, reinforcing our artnership with this world-leading, inclusive organization.",0,0,
10/12/18,Gilead Sciences Inc.,,"Yesterday, members of our LGBTQ+ Alliance employee resource group commemorated #NationalComingOutDay in support of those who have come out as a member of the LGBTQ+ community or as an ally. Learn more about our ERGs: https://bit.ly/2Ib8BKO.",0,0,
6/22/18,BlackRock Inc.,,Yesterday we celebrated #PrideMonth and the #LGBTQ community with a cake and champagne fundraiser to support the Trinity Place Shelter. #HappyPride,0,0,
2/26/21,KeyCorp,,"Yesterday marked a historic day as the House of Representatives passed the Equality Act, which aims to expand civil rights and protections for the LGBTQ+ community.",0,0,
1/28/21,Ameren,,"Yes, the tweet is related to the LGBTQ+ community. The tweet mentions that Ameren is proud to be recognized as a Best Workplace for LGBTQ Equality by the Human Rights Campaign (HRC). The HRC is a leading LGBTQ+ advocacy organization.",0,0,
6/5/19,AbbVie Inc.,,"Yale-trained health expert Alan Hart was a leader in the fight against tuberculosis. He was also transgender. Learn more about him and other #LGBTQ scientists who changed the world, via @curiositydotcom: http://bit.ly/2LDP6Qa #LGBTSTEMDay #LGBTQSTEMDay",0,0,
1/27/22,Xylem Inc.,,"Xylem recognized for the 3rd year running as one of the Best Places to Work by the @HRC in their annual assessment of #LGBTQ workplaces, scoring 100%. Learn more about the ranking: http://ow.ly/GSqH50HFuGa #CorporateEqualityIndex 🌈",0,0,
6/15/20,Xylem Inc.,,Xylem is proud to see the U.S. Supreme Court affirm protections for #LGBTQ workers across the country. We will continue to stand alongside @HRC in the fight for full equality. #LGBTQRights,0,0,
1/21/20,Xylem Inc.,,"Xylem has earned 100% on @HRC ’s 2020 Corporate Equality Index for LGBTQ-inclusive workplace policies and practices! Thanks to our growing LGBT+ and Allies Network, benefits, engagement w/the LGBT+ community & public support for LGBT+ equality http://hrc.org/cei",0,0,
6/22/19,Xcel Energy Inc.,,Xcel Energy is recognized as a great employer for LGBTQ+ equality by the @HRC Foundation & this weekend our #Minneapolis substations are lit to show our #TwinCitiesPride! http://spr.ly/6016ESKRk,0,0,
6/15/22,Wynn Resorts Limited,,"Wynn Resorts continues to celebrate #LGBTQ+ Pride Month! Through the rest of June, we will be highlighting some of our incredible employees within the LGBTQ+ community. Today, we’ll be hearing from Courtney Prescott, Executive Director of Human Resources at Wynn Las Vegas.",0,0,
6/23/21,Adobe Incorporated,,"Writer and activist is committed to creating a world that is bolder, brighter, and better for all. In this week’s #Pride edition of #WomenCreateWednesday, learn how she is creating new possibilities for her community and beyond.",0,0,
6/21/18,3M Company,,Wrapped with love. #Pride,0,0,
11/1/22,Dow Inc.,,"Workplace Pride’s 2022 Global Benchmark rates companies on LGBTIQ+ #inclusion. Dow scored 100%. #DowProud
",0,0,
6/6/22,Adobe Incorporated,,"Words of wisdom 🌈 ""Pride Month Illustration"" by shivani shahane on Behance: https://bit.ly/38WCstw",0,0,
6/14/18,Google,,"With ways to celebrate in @googlemaps @googlearts Search and more, here's how we're marking #PrideMonthat Google—from our families to yours → http://goo.gl/dsbDZB",0,0,
6/28/21,UnitedHealth Group Incorporated,,"With the help of employees like Sarah who are members of the LGBTQ+ community, we aim to help advance LGBTQ+ #HealthEquity within & outside our organization. #PrideMonth Read how 👇",0,0,
7/3/19,Thermo Fisher Scientific Inc.,,"With the #Scotus set to hear 3 cases that may give #LGBTQ people protection from discrimination under federal civil rights laws, we’re proud to join over 200 companies to endorse the prohibition of discrimination in employment, housing, health care and education.
",0,0,
6/30/23,Gilead Sciences Inc.,,"with The @BornThisWay Foundation and Dr. Myeshia Price with @TrevorProject, Gilead Foundation grantees, share how they’re working to address the urgent and unmet mental health needs of LGBTQ+ youth.",0,0,
6/24/20,T-Mobile US Inc.,,"With roots in protest, standing up to injustice & inequality is what Pride is about. As the fight for racial justice overlaps with Pride month, it emphasizes how much work is still left to do.We stand in solidarity with the fight for progress & full equality. #StandWithPride",0,0,
6/26/20,Paramount Global Class B,,"With recognition from @glaad as being the most LGBTQ+-inclusive cable network, @Showtime has always put an emphasis on diverse storytelling. Here’s how the network is constantly working to include new perspectives. https://viacbs.co/2ZgD9VL",0,0,
6/23/20,Chubb Limited,,"With many #pride events around the world being held virtually this year, some of our employees are celebrating #pridemonth in new ways than before such as eating rainbow cake and attending virtual rallies. #ChubbPride #ChubbPride2020",0,0,
11/30/19,Cognizant Technology Solutions Corporation Class A,,With great joy and pride — we salute and thank our dedicated volunteers for touching tens of thousands of lives. #BeCognizant #GreatPlace2Work #Self4Society  https://cogniz.at/37ViQQT,0,0,
6/28/18,Arthur J. Gallagher & Co.,,"With everything shared notwithstanding, tenent 21 from #TheGallagherWay sums it up. Happy #Pride Month.",0,0,
6/28/21,Yum! Brands Inc.,,"With events like Drag Queen Storytime and efforts to provide information on healthcare resources to Taco Bell LGBTQ+ team members in our corporate-owned stores,@TacoBell’s LGBTQ+ employee resource group Live Más Pride is giving us life!",0,0,
6/24/18,Meta Platforms Inc. Class A,,"With a small group of fathers, Jake Abhau started Dragon Dads as a place for dads of LGBTQ kids to show love and support for their children on Facebook. It's turned into one powerful community, especially during #Pride month. #prideconnectsus",0,0,
6/30/21,Oracle Corporation,,"With 3000+ global members, Oracle Pride Employee Network (OPEN)’s commitment to diversity and inclusion goes way beyond #Pride month. https://social.ora.cl/6016yTO66 #DiversityAndInclusion",0,0,
7/1/21,Bristol-Myers Squibb Company,,"With #PrideMonth now behind us, David Elkins and Paul Shay of our PRIDE Alliance reflect on how being a vocal LGBTQ+ ally in the workplace makes a difference – from calling out bias to small, everyday interactions. #Pride2021",0,0,
6/1/22,Cintas Corporation,,Wishing the LGBTQ+ community and their allies a Happy Pride Month!,0,0,
6/1/22,Corning Inc,,"Wishing our colleagues a happy #PrideMonth! At Corning, we embrace and celebrate diversity, equity and inclusion and are committed to fostering an environment where everyone can thrive. We support our #LGBTQ+ colleagues this month and every month.",0,0,
6/20/19,Kimco Realty Corporation,,Wishing everyone a happy Pride Month!  Proud to be supporting diversity and inclusion in the real estate industry.,0,0,
6/1/22,Lam Research Corporation,,Wishing everyone a happy #PrideMonth! June is an important time for us to shine a light on allyship and create safe spaces both within Lam and our larger communities for employees to live their most authentic lives.,0,0,
6/24/21,Agilent Technologies Inc.,,"Wishing everyone a beautiful #PrideMonth throughout June. At Agilent we celebrate our LGBTQ+ employees, are proud to support diversity and inclusion, and ensure a workplace where all employees can feel comfortable being their true selves. Learn more: https://bit.ly/3e0WrH6",0,0,
6/1/22,Northern Trust Corporation,,"Wishing a happy #PrideMonth to our colleagues, clients and communities around the world. We’re proud to celebrate the contributions and achievements of the LGBTQ+ community.",0,0,
6/27/20,Alaska Air Group Inc.,,Win a chance for you and 3 friends (that’s 4 roundtrip tickets total!) to fly to a Pride festival of your choice next year. To enter for a chance to win 1) tag a friend in the comments below & 2) tell us where you want to go. Contest closes at 11:59 p.m. pst tonight. T&Cs in bio.,0,0,
6/9/23,Google,,"Willi Ninja's iconic dance and choreography revolutionized Ballroom for Black LGBTQ+ communities. This #Pride month we celebrate the ""Godfather of Voguing"" in a@googleartsdigital archive → https://goo.gle/42vVUmG",0,0,
2/17/22,J.B. Hunt Transport Services Inc.,,"Why is learning about and celebrating #BlackHistoryMonth so important? Sr. Manager of Intermodal Operations, Imanuel, says, ""It is important to me because I want my children to inherit a sense of pride about their ancestors.""",0,0,
6/26/20,Robert Half International Inc.,,"Why is it important to be an ally not only to the LGBTQ+ community, but to everyone who experiences discrimination? Robert Half employees answer that question in their own words. #Pride #PrideMonth #Ally #Allyship",0,0,
6/5/23,Seagate Technology Holdings PLC,,"Why do we use #ProudTogether? 🏳️‍🌈🏳️‍⚧️ The hashtag was created because we know that together, with the support from allies, no one in the LGBTQ+ community needs to feel alone—we all continue to build a brighter future where we ALL belong. http://seagate.media/6010g9ig4 ",0,0,
6/22/21,AbbVie Inc.,,Why do personal pronouns matter? They’re a way to show respect & create an environment where each person can be their authentic self. Explore our commitment to inclusion: https://bit.ly/3zMPi64 #PrideMonth #AbbVieLife,0,0,
3/16/21,Goldman Sachs Group Inc.,,"Why #marriageequality is more than a human right. Read this op-ed by Masa Yanagisawa of our APAC #LGBTQ + Council, ahead of Japan's first-ever legal ruling on same-sex unions. #札幌0317 #結婚の自由https://click.gs.com/agp9",0,0,
6/22/21,United Airlines,,Whoever you love. However you identify. Wherever you're going. Let your true colors fly. #Pride,0,0,
6/27/19,Mastercard Incorporated Class A,,"Whoever you are, you’re accepted here. Visit Acceptance Street, at the corner of Christopher & Gay in NYC. #AcceptanceMatters",0,0,
6/30/19,Mastercard Incorporated Class A,,"Whoever you are, wherever you’re from, #AcceptanceMatters. Visit Acceptance Street, at the corner of Christopher & Gay in NYC. #WorldPrid",0,0,
6/27/19,Broadridge Financial Solutions Inc.,,"Who’s ready for #Pride? Follow us for updates as we join in the #worldpride2019 pride march, this Sunday evening! #BroadridgePride #BPride #ReadyforNext #ReadyforPride
",0,0,
6/4/21,MSCI Inc. Class A,,"Who will smile at you? A simple but important question, especially for #LGBTQ workers. We look for answers on this week’s MSCI #PerspectivesPodcast. #pride #MSCIResearch https://msci.com/perspectives-podcast/pride-in-the-workplace",0,0,
6/28/18,Match Group Inc.,,"Who should pay on a first date? #LBGTQ #SinglesinAmerica helped us make ""cents"" of the situation! #pridemonth #pride2018
",0,0,
1/12/22,Salesforce Inc.,,"Who needs a work makeover for the New Year? Join Emmy-nominated host and ""Queer Eye"" Culture Expert @Karamo alongside Small Business Revolution host AmandaKBrinkman on the next episode of #LeadingThroughChange. Register here: https://sforce.co/3I2lB46",0,0,
6/30/20,Robert Half International Inc.,,Who in the #LGBTQ+ community inspires you? Here's what a few of our own employees had to say: #PrideMonth #Pride,0,0,
6/18/21,Edwards Lifesciences Corporation,,"Who has inspired you to be your true authentic self? We asked our employees to share who has helped pave the way for them and inspires them to be their true selves every day. #Pride #Pride2021 #inclusion #inspiration
",0,0,
6/16/21,Automatic Data Processing Inc.,,"While work-from-home is still in place for many organizations, see how businesses can still get creative to support their LGBTQ+ employees remotely all year long: https://bit.ly/3wrZSND",0,0,
6/1/20,Franklin Resources Inc.,,"While we may not be able to come together in person for #PRIDE events this year, we’re still celebrating virtually with our LGBTQ community across the globe and enjoying these throwbacks from last years’ festivities. #PRIDE2020",0,0,
6/30/20,Entergy Corporation,,"While we may be celebrating pride at a safe distance this year, Entergy is committed to creating a culture of diversity, inclusion and belonging for all employees, this month, and every month. See how our employees celebrated #PrideInside this year ➡️ http://enter.gy/6014GPcLQ",0,0,
6/29/20,Activision Blizzard Inc.,,"While we couldn’t celebrate #PrideMonth in person this year, we got creative with ways to show our love and support for the LGBT+ community! Activision Blizzard employees gathered for a virtual #Pride party to celebrate identity, community and allyship.",0,0,
6/30/22,Lumen Technologies Inc.,,"While today is the official last day of #PrideMonth, it doesn’t mean that #Pride ends. We continue to celebrate and support the #LGBTQIA+ community year-round and look forward to #Pride2023 next year.",0,0,
6/30/22,Lumen Technologies,,"While today is the official last day of #PrideMonth, it doesn’t mean that #Pride ends. We continue to celebrate and support the #LGBTQIA+ community year-round and look forward to #Pride2023 next ye",0,0,
7/2/20,Raymond James Financial Inc.,,"While this year’s #PrideMonth was anything but typical, it was filled with festivities. Raymond James associates and advisors celebrated with virtual and socially-distanced events all month long, from a drive-up BBQ fundraiser to a virtual run. Take a look! #RJPride #RJInclusion",0,0,
5/13/20,Merck & Co. Inc.,,"While the world was a very different place before #COVID19, we take pride knowing that one thing has stayed the same: our employees’ unwavering commitment to our patients and customers. #AllInItTogether",0,0,
6/1/21,Seagate Technology Holdings PLC,,"While Pride Month is a time of celebration, it’s also a time to reaffirm our commitment to advancing human rights and supporting LGBTQ+ inclusion. Seagate is proud to be a place where all employees feel safe, respected, and valued for who they are. 🏳️‍🌈 #Pride2021",0,0,
6/16/20,KeyCorp,,"While PRIDE Month celebrations may not be in-person this year, we still affirm our collective identity, celebrate LGBTQ+ contributions to the community and celebrate the Supreme Court ruling of this landmark victory for LGBTQ+ equality.  🌈  #Pride2020",0,0,
6/12/20,Ecolab Inc.,,"While our #PRIDE month celebrations look different this year, we’re proud to celebrate virtually alongside our PRIDE employee resource group. Thank you for advocating all year long for inclusion for everyone on the #ECLteam!",0,0,
6/8/20,Interpublic Group of Companies Inc.,,"While many Pride celebrations have been canceled, IPG is still celebrating LGBTQ+ #PrideMonth this June! Learn more about Pride programming and content:",0,0,
7/15/22,U.S. Bancorp,,"While having a home to call your own is a common life goal, those in the LGBTQ+ community face longstanding barriers to homeownership. We’ve created this guide to help you navigate the homebuying process.",0,0,
6/30/23,Baxter International Inc.,,"While #PrideMonth is ending, Baxter celebrates pride and unity and supports the LGBTQIA+ community and allies year-round. Fostering an inclusive and diverse culture is critical to advancing our Mission to Save and Sustain Lives. #AllInclusive #ThisIsWhere #LifeAtBaxter",0,0,
6/29/22,Henry Schein Inc.,,"While #PrideMonth is coming to a close, it's important that we continue listening, learning, and advocating for our LGBTQIA+ friends, family members, and colleagues. #TeamSchein #Pride2022 #HenrySchein",0,0,
6/27/20,PNC Financial Services Group Inc.,,"While #Pride2020 may look a little different this year, @PNCBank is proud to celebrate our employees, community members, and customers as a @HRC Best Place to Work for LGBTQ+ equality.",0,0,
6/3/21,Capital One Financial Corp,,"Whether you’re a proud member of the LGBTQ+ community or you’re just proud to be an ally - that pride has power. We’re proud to use our collective voices to not only celebrate, but to also address the work that still needs to be done. Learn more. #PrideisPowerful",0,0,
6/1/23,Yum! Brands Inc.,,"Whether you are walking through the doors of our restaurants or our corporate offices, everyone is welcome at our tables. Happy #PrideMonth!",0,0,
